"pk_orderno","fk_servicelevelid","fk_controlcustomerno","custname","billno","custcity","fk_custstate","custzip","shipper_nbr","shipper_name","shipper_addr_1","shipper_addr_2","shipper_city","shipper_st","shipper_cntry","shipper_zip","consignee_name","consignee_addr_1","consignee_addr_2","consignee_city","consignee_st","consignee_cntry","consignee_zip","origin_port_iata","destination_port_iata","order_status","fk_salesperson","actual_wght_lbs","actual_wght_kgs","chrg_wght_lbs","chrg_wght_kgs","tot_charges","tot_costs","fk_modeid","pieces","userid","orderdate","note"
"7050548","EC","19299","PAINT AND PIXELS LLC",19299,"REDDING","CT","6896",19299,"PAINT AND PIXELS LLC","2 INDIAN HILL ROAD","","REDDING","CT","US","6896","Laura Rathe Fine Art","2707 Colquitt St,","","Houston","TX","US","77098","EWR","IAH","$$$","LGB03","145.0","66.0","232.0","105.5","427.00","0.00","DOMAIR","5","glugliani","2022-03-23T05:21:07.320Z",
"7050570","ND","20676","ARCHITECTURAL WINDOW SHADES",20676,"EL MONTE","CA","91731",20676,"ARCHITECTURAL WINDOW SHADES","9900 GIDLEY ST","","EL MONTE","CA","US","91731","Van Cleef & Arpels – Hudson Yards","20 Hudson Yards, Suite 131B","","Empire State","NY","US","10001","LAX","JFK","$$$","LGB03","25.0","11.5","25.0","11.5",,,"DOMAIR","1","atalley","2022-03-23T08:21:19.917Z",
"7050550","2D","20608","NATIONWIDE WHOLESALE VIDEO,  INC",20608,"WIXON","MI","48393",21404,"NATIONWIDE - ATL","1225 KENNESTONE CIRCLE SUITE 100A","","MARIETTA","GA","US","30066","LIVE TECHNOLOGIES - COLUMBUS","3445 MILLENNIUM COURT","","COLUMBUS","OH","US","43219","ATL","CMH","NEW","LGB17","372.0","169.0","760.0","345.0","495.61","395.92","DOMAIR","1","idollosa","2022-03-23T05:36:14.287Z","***DELIVE ON 3/31 BY 1700***"
"7050550","2D","20608","NATIONWIDE WHOLESALE VIDEO,  INC",20608,"WIXON","MI","48393",21404,"NATIONWIDE - ATL","1225 KENNESTONE CIRCLE SUITE 100A","","MARIETTA","GA","US","30066","LIVE TECHNOLOGIES - COLUMBUS","3445 MILLENNIUM COURT","","COLUMBUS","OH","US","43219","ATL","CMH","NEW","LGB17","372.0","169.0","760.0","345.0","495.61","395.92","DOMAIR","1","idollosa","2022-03-23T05:36:14.287Z","***DELIVE ON 3/31 BY 1700***"
"7050565","EC","2430","CHRISTIE DIGITAL (CA)",2430,"CYPRESS","CA","90630",0,"","","","Riverside","CA","US","92507","","","","Coconut Creek","FL","US","33073","LAX","MIA","NEW","LAX06","357.0","162.0","649.0","294.5","0.00","527.41","DOMAIR","1","dahall","2022-03-23T07:43:30.080Z",
"7050567","EC","20187","PULP STUDIO INC",20187,"GARDENA","CA","90249",20187,"PULP STUDIO INC","2100 WEST 139TH ST","","GARDENA","CA","US","90249","Rolex","650 Fifth Avenue, 7th Floor.","","New York","NY","US","10022","LAX","JFK","$$$","LGB07","700.0","317.5","700.0","317.5","975.00","545.12","DOMAIR","1","atalley","2022-03-23T07:49:57.220Z",
"7050612","EC","2430","CHRISTIE DIGITAL (CA)",2430,"CYPRESS","CA","90630",0,"","","","Riverside","CA","US","92507","","","","Phoenix","AZ","US","85009","LAX","PHX","NEW","LAX06","135.0","61.5","188.0","85.5","0.00","129.82","DOMAIR","1","dahall","2022-03-23T13:25:19.720Z",
"7050541","2D","20608","NATIONWIDE WHOLESALE VIDEO,  INC",20608,"WIXON","MI","48393",21403,"NATIONWIDE - EWR","60 METRO WAY","","SECAUCUS","NJ","US","07094","XAVIER UNIVERSITY CINTAS CENTER","1624 HERALD AVE.","VIDEO PRODUCTION","CINCINNATI","OH","US","45207","EWR","CVG","NEW","LGB17","588.0","267.0","693.0","314.5","750.00","598.61","DOMAIR","1","idollosa","2022-03-23T04:46:52.860Z","***DELIVER ON 3/30 BY 1700***"
"7050541","2D","20608","NATIONWIDE WHOLESALE VIDEO,  INC",20608,"WIXON","MI","48393",21403,"NATIONWIDE - EWR","60 METRO WAY","","SECAUCUS","NJ","US","07094","XAVIER UNIVERSITY CINTAS CENTER","1624 HERALD AVE.","VIDEO PRODUCTION","CINCINNATI","OH","US","45207","EWR","CVG","NEW","LGB17","588.0","267.0","693.0","314.5","750.00","598.61","DOMAIR","1","idollosa","2022-03-23T04:46:52.860Z","***DELIVER ON 3/30 BY 1700***"
"7050585","EC","20140","LOREN INDUSTRIES",20140,"WHITTIER","CA","90601",20140,"LOREN INDUSTRIES","12226 COAST DR","","WHITTIER","CA","US","90601","Global Sign Works","4222 N 39th","","Phoenix","AZ","US","85019","LAX","PHX","NEW","LGB05","1060.0","481.0","2005.0","909.5","1227.00","0.00","DOMAIR","1","glugliani","2022-03-23T09:06:57.910Z",
